Date,Nissan Leaf,Smart ED,Mitsubishi I EV,BMW Active E,Ford Focus,Honda Fit EV,Tesla Model S,Toyota RAV4 EV,Chevrolet Spark,testValue,test Value
Dec-10,19,0,,,,,,,,1,1
Jan-11,87,16,,,,,,,,2,2
Feb-11,67,16,,,,,,,,3,3
Mar-11,298,0,,,,,,,,4,4
Apr-11,573,0,,,,,,,,5,5
May-11,1142,8,,,,,,,,6,6
Jun-11,1708,0,,,,,,,,7,7
Jul-11,931,1,,,,,,,,8,8
Aug-11,1362,1,,,,,,,,9,9
Sep-11,1031,0,,,,,,,,10,10
Oct-11,849,17,,,,,,,,11,11
Nov-11,672,101,,,,,,,,12,12
Dec-11,954,182,76,,,,,,,13,13
Jan-12,676,0,36,112,,,,,,14,14
Feb-12,478,2,44,115,,,,,,15,15
Mar-12,579,0,56,326,,,,,,16,16
Apr-12,370,0,79,30,,,,,,17,17
May-12,510,0,85,11,6,,,,,18,18
Jun-12,535,127,33,79,89,,,,,19,19
Jul-12,395,6,33,0,38,7,,,,20,20
Aug-12,685,1,37,0,34,9,100,,,21,21
Sep-12,984,0,36,0,59,16,150,61,,22,22
Oct-12,1579,0,30,-2,118,16,450,47,,23,23
Nov-12,1539,3,42,0,172,26,800,32,,24,24
Dec-12,1489,0,77,0,167,19,900,52,,25,25
Jan-13,650,1,257,0,81,8,1350,25,,26,26
Feb-13,653,1,337,0,158,15,1450,52,,27,27
Mar-13,2236,0,31,0,180,23,1950,133,,28,28
Apr-13,1937,0,127,0,147,22,2100,70,,29,29
May-13,2138,60,91,0,157,15,2000,84,,30,30
Jun-13,2225,53,39,0,177,208,1800,44,27,31,31
